UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
448248,"R",340,"R",0,"R",340,"R",99,"R",238,"R",0,"R",2,"R",100,"R",33,"Z",0,"R",33,"R",27,"R",0,"Z",0,"R",0,"R",0,"R",307,"Z",0,"R",307,"R",211
448257,"R",43,"Z",0,"R",43,"R",3,"R",40,"Z",0,"Z",0,"R",3,"R",36,"Z",0,"R",36,"R",36,"R",3,"Z",0,"R",3,"R",3,"R",4,"Z",0,"R",4,"R",1
448275,"R",26,"R",0,"R",26,"R",25,"R",25,"R",0,"R",0,"R",1,"R",20,"Z",0,"R",20,"R",20,"R",5,"Z",0,"R",5,"R",5,"R",1,"Z",0,"R",1,"R",0
448424,"R",25,"R",0,"R",25,"R",15,"R",18,"R",0,"R",0,"R",7,"R",17,"Z",0,"R",17,"R",11,"R",4,"Z",0,"R",4,"R",3,"R",4,"Z",0,"R",4,"R",4
448646,"R",289,"R",0,"R",289,"R",147,"R",167,"R",0,"R",0,"R",122,"R",259,"Z",0,"R",259,"R",142,"R",17,"Z",0,"R",17,"R",14,"R",13,"Z",0,"R",13,"R",11
448707,"R",199,"R",1,"R",198,"R",126,"R",126,"R",0,"R",0,"R",72,"R",199,"R",1,"R",198,"R",126,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
448798,"R",49,"R",0,"R",49,"R",0,"R",17,"R",0,"R",1,"R",31,"R",49,"Z",0,"R",49,"R",17,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
448895,"R",313,"R",0,"R",313,"R",41,"R",164,"R",0,"R",0,"R",149,"R",252,"Z",0,"R",252,"R",134,"R",20,"Z",0,"R",20,"R",16,"R",41,"Z",0,"R",41,"R",14
448983,"R",247,"R",1,"R",246,"R",36,"R",161,"R",0,"R",0,"R",85,"R",169,"R",0,"R",169,"R",107,"R",8,"R",0,"R",8,"R",7,"R",70,"R",1,"R",69,"R",47
449311,"R",126,"R",0,"R",126,"R",29,"R",70,"R",0,"R",0,"R",56,"R",116,"Z",0,"R",116,"R",65,"R",2,"Z",0,"R",2,"R",1,"R",8,"Z",0,"R",8,"R",4
449320,"R",382,"R",0,"R",382,"R",180,"R",268,"Z",0,"R",2,"R",112,"R",290,"Z",0,"R",290,"R",209,"R",45,"Z",0,"R",45,"R",32,"R",47,"Z",0,"R",47,"R",27
449357,"R",12,"R",0,"R",12,"R",9,"R",10,"R",0,"R",0,"R",2,"R",12,"Z",0,"R",12,"R",10,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
449366,"R",199,"R",0,"R",199,"R",177,"R",182,"R",0,"R",0,"R",17,"R",65,"Z",0,"R",65,"R",60,"R",46,"Z",0,"R",46,"R",41,"R",88,"Z",0,"R",88,"R",81
449393,"R",47,"R",1,"R",46,"R",16,"R",27,"R",0,"R",0,"R",19,"R",38,"R",0,"R",38,"R",22,"R",4,"R",0,"R",4,"R",2,"R",5,"R",1,"R",4,"R",3
449463,"R",78,"R",0,"R",78,"R",22,"R",56,"R",0,"Z",0,"R",22,"R",62,"Z",0,"R",62,"R",54,"R",10,"Z",0,"R",10,"R",2,"R",6,"Z",0,"R",6,"R",0
449472,"R",30,"R",0,"R",30,"R",3,"R",26,"R",0,"R",0,"R",4,"R",22,"Z",0,"R",22,"R",19,"R",5,"Z",0,"R",5,"R",4,"R",3,"Z",0,"R",3,"R",3
449490,"R",36,"R",0,"R",36,"R",14,"R",24,"R",0,"R",2,"R",10,"R",18,"Z",0,"R",18,"R",18,"R",1,"Z",0,"R",1,"R",1,"R",17,"Z",0,"R",17,"R",5
449533,"R",35,"R",0,"R",35,"R",23,"R",23,"R",0,"R",0,"R",12,"R",32,"Z",0,"R",32,"R",22,"R",0,"Z",0,"R",0,"R",0,"R",3,"Z",0,"R",3,"R",1
449597,"R",4,"R",0,"R",4,"R",4,"R",4,"R",0,"R",0,"R",0,"R",4,"Z",0,"R",4,"R",4,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
449603,"R",40,"R",0,"R",40,"R",17,"R",27,"R",0,"R",0,"R",13,"R",30,"Z",0,"R",30,"R",19,"R",4,"Z",0,"R",4,"R",3,"R",6,"Z",0,"R",6,"R",5
449667,"R",32,"R",0,"R",32,"R",13,"R",25,"R",0,"R",0,"R",7,"R",22,"Z",0,"R",22,"R",17,"R",6,"Z",0,"R",6,"R",5,"R",4,"Z",0,"R",4,"R",3
449685,"R",305,"R",0,"R",305,"R",149,"R",213,"R",0,"R",0,"R",92,"R",195,"Z",0,"R",195,"R",135,"R",0,"Z",0,"R",0,"R",0,"R",110,"Z",0,"R",110,"R",78
449700,"R",106,"R",0,"R",106,"R",81,"R",81,"R",0,"R",0,"R",25,"R",79,"Z",0,"R",79,"R",58,"R",22,"Z",0,"R",22,"R",22,"R",5,"Z",0,"R",5,"R",1
449719,"R",37,"R",0,"R",37,"R",17,"R",24,"R",0,"R",0,"R",13,"R",32,"Z",0,"R",32,"R",20,"R",5,"Z",0,"R",5,"R",4,"R",0,"Z",0,"R",0,"R",0
449773,"R",72,"Z",0,"R",72,"R",43,"R",57,"Z",0,"Z",0,"R",15,"R",48,"Z",0,"R",48,"R",41,"R",12,"Z",0,"R",12,"R",9,"R",12,"Z",0,"R",12,"R",7
